# ncycles	3846785
path	depth	nbits	toggles	busy	nbursts	bsum	maxburst	nidle	isum	maxidle	bhist	ihist	thresh	busy2	nbursts2	bsum2	maxburst2	nidle2	isum2	maxidle2	bhist2	ihist2
VX_gpu_pkg	0	1376	0	0	0	0	0	1	3846785	3846785	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	7	0	0	0	0	1	3846785	3846785	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
defs_div_sqrt_mvp	0	1387	0	0	0	0	0	1	3846785	3846785	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	7	0	0	0	0	1	3846785	3846785	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fpnew_pkg	0	2140	0	0	0	0	0	1	3846785	3846785	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	11	0	0	0	0	1	3846785	3846785	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tb	0	458993	14263146615	3846755	3	3846755	1282252	3	30	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2295	2561007	451679	2561007	46	451680	1285778	304	160991,49906,73858,41317,22351,20425,9147,2677,7210,4821,8005,459,1819,3044,1502,353,32656,11138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	209605,87987,52185,27561,10998,12118,6510,8304,19256,10535,1292,1873,186,333,165,238,2221,174,104,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut	1	436707	13455282790	3846755	3	3846755	1282252	3	30	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2184	2473978	494280	2473978	38	494281	1372807	304	181711,54398,73334,40467,42686,19221,9036,3954,6175,5539,7674,2219,1441,1328,4311,1652,38115,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	234743,81432,55848,31993,21264,28151,5996,8628,16463,3599,1665,300,169,1093,85,755,1790,171,101,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0]	2	418715	12749806976	3846755	3	3846755	1282252	3	30	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2094	2531266	489492	2531266	46	489493	1315519	305	174951,56163,72335,40911,44414,18748,10378,2811,5631,4242,6258,1755,828,1028,3777,2157,41242,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	244332,82014,49979,31379,17421,22600,6812,9035,17058,2557,2172,320,71,1032,104,291,2002,173,108,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster	3	418669	12749806893	3846755	3	3846755	1282252	3	30	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2094	2531266	489492	2531266	46	489493	1315519	305	174951,56163,72335,40911,44414,18748,10378,2811,5631,4242,6258,1755,828,1028,3777,2157,41242,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	244332,82014,49979,31379,17421,22600,6812,9035,17058,2557,2172,320,71,1032,104,291,2002,173,108,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.dcr_bus_if	4	45	77	30	3	30	10	4	3846755	1282252	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	2	21	9	21	4	10	3846764	1282253	3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache	4	14165	509891814	1440794	308169	1440794	388	308169	2405991	263	7395,110878,83717,2919,26076,1329,1998,54,43410,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102094,37053,18348,8247,17979,6351,23835,16431,8967,7884,20409,8517,1335,60,114,72,6188,24132,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	71	829691	233283	829691	151	233284	3017094	300	93109,65732,282,354,132,327,6,67692,57,5385,15,114,0,0,0,36,24,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42840,27180,8461,282,2535,15909,3930,30141,8733,7539,1866,636,1428,2634,450,1014,52057,25438,172,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.core_bus_cache_if[0]	5	1298	44576684	744536	143111	744536	384	143112	3102249	330	2,68865,15,432,3,387,0,67809,0,5403,0,114,0,0,0,36,21,9,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36614,12717,4746,105,1218,63,90,1302,2385,117,2721,120,1365,1239,54,54,51966,5710,20484,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	738034	144287	738034	151	144288	3108751	746	4188,65783,162,360,123,624,3,68340,0,4506,6,114,0,0,0,36,24,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	37803,12720,4828,114,1236,57,90,1272,1218,1284,2730,111,1368,1236,66,60,51810,5683,20564,27,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
