# ncycles	4186487
path	depth	nbits	toggles	busy	nbursts	bsum	maxburst	nidle	isum	maxidle	bhist	ihist	thresh	busy2	nbursts2	bsum2	maxburst2	nidle2	isum2	maxidle2	bhist2	ihist2
VX_gpu_pkg	0	1376	0	0	0	0	0	1	4186487	4186487	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	7	0	0	0	0	1	4186487	4186487	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
defs_div_sqrt_mvp	0	1387	0	0	0	0	0	1	4186487	4186487	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	7	0	0	0	0	1	4186487	4186487	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fpnew_pkg	0	2140	0	0	0	0	0	1	4186487	4186487	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	11	0	0	0	0	1	4186487	4186487	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tb	0	458993	17464334604	4186457	3	4186457	1395486	3	30	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2295	3279322	344714	3279322	164	344715	907165	304	95469,35524,30007,16345,18122,16171,8763,11402,10506,11853,7420,5123,2559,4407,2646,3591,35754,28824,222,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	218155,48412,28470,16205,6581,5035,4678,2869,1888,1836,1522,667,618,402,294,864,3689,2043,428,54,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut	1	436707	17267210219	4186457	3	4186457	1395486	3	30	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2184	3319461	319409	3319461	297	319410	867026	304	89621,32242,26908,13905,17700,14076,8075,9747,7761,11253,8372,4222,2293,3738,2224,2886,30864,32988,504,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	196884,46151,28631,14213,6301,5682,4754,2866,1663,2052,1182,643,555,463,317,855,3822,1912,413,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0]	2	418715	17164780243	4186457	3	4186457	1395486	3	30	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2094	3380060	293153	3380060	360	293154	806427	507	82103,27897,23748,12142,16192,12519,7164,8282,6303,10080,9213,4287,1996,3166,1908,2547,26543,35797,1122,132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	181469,43687,25863,10928,5778,5259,4441,2536,1539,1836,1008,578,428,475,325,823,3853,1860,421,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster	3	418669	17164780154	4186457	3	4186457	1395486	3	30	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2094	3380060	293153	3380060	360	293154	806427	507	82103,27897,23748,12142,16192,12519,7164,8282,6303,10080,9213,4287,1996,3166,1908,2547,26543,35797,1122,132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	181469,43687,25863,10928,5778,5259,4441,2536,1539,1836,1008,578,428,475,325,823,3853,1860,421,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.dcr_bus_if	4	45	83	30	3	30	10	4	4186457	1395486	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	2	21	9	21	4	10	4186466	1395487	3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache	4	14165	71877260	246239	67290	246239	385	67290	3940248	3206	1689,25951,27977,798,2403,237,378,42,5634,306,510,102,69,36,9,9,1092,27,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9706,1056,3561,843,1035,1404,1821,1710,849,780,4578,1593,933,750,702,285,19889,5295,3927,2555,1924,1959,129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	71	136151	50556	136151	103	50557	4050336	3207	27190,14945,282,318,108,24,18,6087,105,306,3,15,6,3,3,681,441,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1014,942,931,714,597,471,681,756,948,567,579,1533,633,1011,753,789,20866,4582,5467,2657,1960,1953,147,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.core_bus_cache_if[0]	5	1298	5092190	125063	30671	125063	384	30672	4061424	3226	377,22098,24,387,0,105,0,6210,0,312,0,15,0,0,0,690,432,6,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	224,537,198,390,162,210,312,390,348,180,279,240,321,357,414,213,5898,6346,6282,3102,2103,1902,258,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	113428	28358	113428	101	28359	4073059	3679	5148,14951,141,330,87,27,3,6186,6,306,3,15,6,3,3,684,438,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	219,528,262,369,171,207,297,390,375,177,264,249,315,300,375,219,5625,6007,4787,2913,2029,1909,330,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.core_bus_if[0]	5	1298	10019470	246228	67287	246228	385	67288	3940259	3206	1692,25947,27975,798,2403,237,378,42,5634,306,510,102,69,36,9,9,1092,27,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9707,1056,3561,843,1035,1404,1821,1710,849,780,4578,1593,933,750,702,282,19887,5297,3927,2555,1924,1959,129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	136634	50817	136634	384	50818	4049853	3207	27343,15050,303,318,111,18,18,6093,102,306,3,15,6,0,0,684,438,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1113,954,994,738,579,480,651,762,957,567,597,1536,639,1026,786,795,20887,4594,5440,2657,1960,1953,147,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2	5	8274	46579811	246233	67292	246233	385	67293	3940254	3206	1697,25947,27975,798,2403,237,378,42,5634,306,510,102,69,36,9,9,1092,27,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9709,1056,3561,843,1035,1404,1821,1710,849,780,4578,1593,933,750,702,284,19890,5295,3927,2555,1924,1959,129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42	136469	50682	136469	384	50683	4050018	3207	27235,15020,309,318,108,18,18,6093,102,306,3,15,6,0,0,684,438,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1098,954,967,723,570,474,648,756,948,567,579,1533,639,1020,753,792,20863,4636,5440,2657,1960,1953,147,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass	6	8273	46579805	246233	67292	246233	385	67293	3940254	3206	1697,25947,27975,798,2403,237,378,42,5634,306,510,102,69,36,9,9,1092,27,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9709,1056,3561,843,1035,1404,1821,1710,849,780,4578,1593,933,750,702,284,19890,5295,3927,2555,1924,1959,129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42	136469	50682	136469	384	50683	4050018	3207	27235,15020,309,318,108,18,18,6093,102,306,3,15,6,0,0,684,438,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1098,954,967,723,570,474,648,756,948,567,579,1533,639,1020,753,792,20863,4636,5440,2657,1960,1953,147,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_in_if[0]	7	1298	10019470	246228	67287	246228	385	67288	3940259	3206	1692,25947,27975,798,2403,237,378,42,5634,306,510,102,69,36,9,9,1092,27,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9707,1056,3561,843,1035,1404,1821,1710,849,780,4578,1593,933,750,702,282,19887,5297,3927,2555,1924,1959,129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	136634	50817	136634	384	50818	4049853	3207	27343,15050,303,318,111,18,18,6093,102,306,3,15,6,0,0,684,438,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1113,954,994,738,579,480,651,762,957,567,597,1536,639,1026,786,795,20887,4594,5440,2657,1960,1953,147,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_out_if[0]	7	1298	5092190	125063	30671	125063	384	30672	4061424	3226	377,22098,24,387,0,105,0,6210,0,312,0,15,0,0,0,690,432,6,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	224,537,198,390,162,210,312,390,348,180,279,240,321,357,414,213,5898,6346,6282,3102,2103,1902,258,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	113428	28358	113428	101	28359	4073059	3679	5148,14951,141,330,87,27,3,6186,6,306,3,15,6,3,3,684,438,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	219,528,262,369,171,207,297,390,375,177,264,249,315,300,375,219,5625,6007,4787,2913,2029,1909,330,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
