path	nvars	sumw	maxw	mean_w	bw_mean_w
VX_gpu_pkg	43	1376	32	32.00	32.00
defs_div_sqrt_mvp	57	1387	64	24.33	34.66
fpnew_pkg	17	2140	682	125.88	490.61
tb	14997	458993	2048	30.61	255.78
tb.dut	14814	436707	2048	29.48	243.59
tb.dut.clusters[0]	14597	418715	2048	28.69	234.34
tb.dut.clusters[0].cluster	14593	418669	2048	28.69	234.36
tb.dut.clusters[0].cluster.dcr_bus_if	3	45	32	15.00	25.98
tb.dut.clusters[0].cluster.l2cache	172	14165	614	82.35	453.20
tb.dut.clusters[0].cluster.l2cache.core_bus_cache_if[0]	11	1298	614	118.00	502.71
tb.dut.clusters[0].cluster.l2cache.core_bus_if[0]	11	1298	614	118.00	502.71
tb.dut.clusters[0].cluster.l2cache.genblk2	103	8274	614	80.33	458.79
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass	102	8273	614	81.11	458.85
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_in_if[0]	11	1298	614	118.00	502.71
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_out_if[0]	11	1298	614	118.00	502.71
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_in_if	11	1290	610	117.27	498.82
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_out_if	11	1298	614	118.00	502.71
tb.dut.clusters[0].cluster.l2cache.mem_bus_cache_if	11	1290	610	117.27	498.82
tb.dut.clusters[0].cluster.l2cache.mem_bus_if	11	1298	614	118.00	502.71
tb.dut.clusters[0].cluster.mem_bus_if	11	1298	614	118.00	502.71
tb.dut.clusters[0].cluster.per_socket_mem_bus_if[0]	11	1298	614	118.00	502.71
tb.dut.clusters[0].cluster.socket_dcr_bus_if	3	45	32	15.00	25.98
tb.dut.clusters[0].cluster.socket_dcr_bus_tmp_if	3	45	32	15.00	25.98
tb.dut.clusters[0].cluster.sockets[0]	14385	401737	2048	27.93	225.00
tb.dut.clusters[0].cluster.sockets[0].socket	14384	401736	2048	27.93	225.00
tb.dut.clusters[0].cluster.sockets[0].socket.core_dcr_bus_if	3	45	32	15.00	25.98
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0]	11109	263404	704	23.71	142.49
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core	11108	263403	704	23.71	142.49
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.branch_ctl_if[0]	4	35	31	8.75	27.63
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit	51	2317	704	45.43	301.30
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit.commit_arb_if[0]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit.commit_csr_if	1	44	44	44.00	44.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit.commit_if[0]	5	242	176	48.40	136.47
