### attributed: comb=297274 seq=37061 mux=128071 mem=97 membits=472564  (unattributed cells=0)

hierarchy path                                                      comb      seq      mux   mux%   seq%   mem   membits   %tot
-------------------------------------------------------------------------------------------------------------------------------
clusters.cluster.sockets.socket.cores.core.execute.fpu_unit.fp    128884     9272    34542  26.8%   6.7%    28      2944  41.3%
clusters.cluster.sockets.socket.cores.core.execute.alu_unit.mu     41753     1843     1826   4.4%   4.2%     0         0  13.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache     15756     6008     8436  53.5%  27.6%    24    157024   6.5%
clusters.cluster.sockets.socket.cores.core.issue.issue_slices.     17055     4585     8881  52.1%  21.2%    15     39380   6.5%
clusters.cluster.sockets.socket.mem_arb.req_arb                    10785     1233    10754  99.7%  10.3%     0         0   3.6%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache     11087        4    11050  99.7%   0.0%     0         0   3.3%
clusters.cluster.sockets.socket.mem_arb.rsp_switch                  7278     2082     7249  99.6%  22.2%     0         0   2.8%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache      5388     1229     5375  99.8%  18.6%     0         0   2.0%
clusters.cluster.sockets.socket.cores.core.execute.alu_unit.al      6053      250     1801  29.8%   4.0%     0         0   1.9%
clusters.cluster.sockets.socket.cores.core.execute.lsu_unit.ls      4202     1381     2611  62.1%  24.7%     1       110   1.7%
clusters.cluster.sockets.socket.cores.core.mem_coalescer            4386      234     2476  56.5%   5.1%     1        52   1.4%
clusters.cluster.sockets.socket.cores.core.lmem_unit.local_mem      3892      484     3476  89.3%  11.1%     1       192   1.3%
clusters.cluster.sockets.socket.icache.caches.cache_wrap.cache      2927     1296     1153  39.4%  30.7%     6    139552   1.3%
clusters.cluster.sockets.socket.cores.core.schedule                 4068        0     3066  75.4%   0.0%     0         0   1.2%
clusters.cluster.sockets.socket.cores.core.commit.commit_arb        2821      183     2771  98.2%   6.1%     0         0   0.9%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache      2568       11     2483  96.7%   0.4%     1       192   0.8%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache      2540        0     1814  71.4%   0.0%     0         0   0.8%
clusters.cluster.sockets.socket.cores.core.execute.sfu_unit.cs      2094      355     1076  51.4%  14.5%     0         0   0.7%
clusters.cluster.sockets.socket.cores.core.branch_ctl_if            2344        0     1379  58.8%   0.0%     0         0   0.7%
clusters.cluster.sockets.socket.cores.core.lmem_unit.local_mem      1864      307     1644  88.2%  14.1%     1       192   0.6%
l3cache.cache_bypass                                                1838        0     1836  99.9%   0.0%     0         0   0.5%
clusters.cluster.l2cache.cache_bypass                               1837        0     1836  99.9%   0.0%     0         0   0.5%
clusters.cluster.sockets.socket.cores.core.fetch                    1658        0     1122  67.7%   0.0%     0         0   0.5%
clusters.cluster.sockets.socket.cores.core.execute.sfu_unit.wc      1193      285     1062  89.0%  19.3%     2       384   0.4%
clusters.cluster.sockets.socket.cores.core.execute.sfu_unit.rs      1020      358      994  97.5%  26.0%     0         0   0.4%
clusters.cluster.sockets.socket.cores.core.execute.alu_unit.rs      1014      358      995  98.1%  26.1%     0         0   0.4%
