TIME,V(PC),V(Y),V(ED),V(ER),V(EQ)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-12,6.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.15625000e-12,6.18750000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.31250000e-12,6.37500000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.45312500e-12,6.54375000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.73437500e-12,6.88125000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.29687500e-12,7.55625000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.42187500e-12,8.90625000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.67187500e-12,1.16062500e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.41718750e-11,1.70062500e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.31718750e-11,2.78062500e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.11718750e-11,4.94062500e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.71718750e-11,9.26062500e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.49171875e-10,1.79006250e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.93171875e-10,3.51806250e-01,7.60890805e-04,2.67107190e-03,2.67686145e-03,0.00000000e+00
3.02171875e-10,3.62606250e-01,1.44382637e-03,5.13757856e-03,5.15322851e-03,0.00000000e+00
3.20171875e-10,3.84206250e-01,4.07718043e-03,1.50181929e-02,1.51232253e-02,0.00000000e+00
3.24764088e-10,3.89716906e-01,5.24589865e-03,1.95115757e-02,1.96779179e-02,0.00000000e+00
3.29356302e-10,3.95227562e-01,6.50305766e-03,2.43736051e-02,2.46143547e-02,0.00000000e+00
3.38540729e-10,4.06248874e-01,9.55646345e-03,3.63790181e-02,3.68704787e-02,0.00000000e+00
3.47725155e-10,4.17270187e-01,1.33439447e-02,5.15541088e-02,5.24862860e-02,0.00000000e+00
3.56909582e-10,4.28291499e-01,1.78828654e-02,7.00474190e-02,7.16968906e-02,0.00000000e+00
3.66094009e-10,4.39312811e-01,2.31866350e-02,9.19771844e-02,9.47259889e-02,0.00000000e+00
3.75278436e-10,4.50334123e-01,2.92646616e-02,1.17429285e-01,1.21783913e-01,0.00000000e+00
3.84462863e-10,4.61355435e-01,3.61223403e-02,1.46455774e-01,1.53065812e-01,0.00000000e+00
3.93647290e-10,4.72376747e-01,4.37610745e-02,1.79073996e-01,1.88749985e-01,0.00000000e+00
4.02831716e-10,4.83398060e-01,5.21783312e-02,2.15266326e-01,2.28996384e-01,0.00000000e+00
4.12016143e-10,4.94419372e-01,6.13677268e-02,2.54980502e-01,2.73945301e-01,0.00000000e+00
4.21200570e-10,5.05440684e-01,7.13191447e-02,2.98130538e-01,3.23716260e-01,0.00000000e+00
4.30384997e-10,5.16461996e-01,8.20188806e-02,3.44598197e-01,3.78407110e-01,0.00000000e+00
4.39569424e-10,5.27483308e-01,9.34498157e-02,3.94234957e-01,4.38093354e-01,0.00000000e+00
4.48753850e-10,5.38504621e-01,1.05591613e-01,4.46864439e-01,5.02827685e-01,0.00000000e+00
4.57938277e-10,5.49525933e-01,1.18420935e-01,5.02285215e-01,5.72639761e-01,0.00000000e+00
4.67122704e-10,5.60547245e-01,1.31911684e-01,5.60273938e-01,6.47536202e-01,0.00000000e+00
